Probe_ID,Symbol,Entrez_Gene_ID,Chromosome,Cytoband
ILMN_1651378,AUP1,550,2,2p13.1b
ILMN_1651380,LOC644783,644783,21,
ILMN_1651385,MFN2,9927,1,1p36.22a
ILMN_1651388,LOC645448,645448,9,9q21.32a
ILMN_1651395,LOC644897,644897,12,
ILMN_1651396,LOC643038,643038,16,
ILMN_1651403,LOC642161,642161,,
ILMN_1651404,LILRA6,79168,19,19q13.42a
ILMN_1651405,BRD9,65980,5,5p15.33d
ILMN_1651408,LOC648934,648934,,6q14.1d
ILMN_1651415,DERL3,91319,22,22q11.23a
ILMN_1651428,SYTL2,54843,11,11q14.1e
ILMN_1651429,SELM,140606,22,22q12.2c
ILMN_1651430,CTRB2,440387,16,16q23.1a
ILMN_1651433,DCK,1633,4,4q13.3b
ILMN_1651435,LOC653148,653148,15,
ILMN_1651437,FOXI1,2299,5,5q35.1c
ILMN_1651438,ZFPM1,161882,16,16q24.2b
ILMN_1651447,LOC651463,651463,,
ILMN_1651453,LOC652663,652663,,
ILMN_1651456,UTY,7404,Y,Yq11.21b
ILMN_1651457,GPR32,2854,19,19q13.33c
ILMN_1651464,FBXL10,84678,12,12q24.31b
ILMN_1651466,ALOX5,240,,10q11.21d
ILMN_1651470,MMP17,4326,,12q24.33c
ILMN_1651477,LOC652224,652224,,
ILMN_1651486,COX11P,NA,6,
ILMN_1651488,LOC644234,644234,X,
ILMN_1651490,CYP26A1,1592,10,10q23.33a
ILMN_1651492,WNT2B,7482,1,1p13.2c
ILMN_1651495,LOC644824,644824,7,
ILMN_1651496,HIST1H2BD,3017,6,6p22.1d
ILMN_1651498,GADD45G,10912,9,9q22.2a
ILMN_1651499,ERGIC1,57222,5,5q35.1e-q35.2a
ILMN_1651501,ABCD4,5826,14,14q24.3a
ILMN_1651504,C4orf8,8603,4,4p16.3a
ILMN_1651506,NCOA6IP,96764,8,8q12.1a
ILMN_1651507,LOC642732,642732,,11q22.3b-q22.3c
ILMN_1651508,LOC649500,649500,,
ILMN_1651513,SKIV2L2,23517,5,5q11.2d-q11.2e
ILMN_1651520,LOC648170,648170,,
ILMN_1651532,LOC644519,644519,X,
ILMN_1651535,C6orf128,221468,6,6p21.2c
ILMN_1651536,GEFT,115557,,12q13.3b
ILMN_1651538,NUMBL,9253,19,19q13.2b
ILMN_1651543,LOC652451,652451,,
ILMN_1651544,HDAC8,55869,X,Xq13.1e
ILMN_1651547,SEMA3E,9723,7,7q21.11e
ILMN_1651554,RGS5,8490,1,1q23.3c
ILMN_1651557,KDELC2,143888,11,11q22.3c
ILMN_1651563,MYO15B,NA,17,
ILMN_1651565,LOC650677,650677,,
ILMN_1651567,WHSC1,7468,4,4p16.3b
ILMN_1651568,MUC13,56667,3,3q21.2a
ILMN_1651569,XRCC2,7516,7,7q36.1e
ILMN_1651574,AQP3,360,9,9p13.3e
ILMN_1651576,LOC645947,645947,,16q23.1d
ILMN_1651582,LOC646307,646307,1,
ILMN_1651584,LOC643576,643576,12,12q23.3a
ILMN_1651597,FBXO44,93611,1,1p36.22b
ILMN_1651599,ENTPD2,954,9,9q34.3e
ILMN_1651604,MARK4,57787,19,19q13.32a
ILMN_1651606,LOC653210,653210,X,
ILMN_1651608,LOC649683,649683,,
ILMN_1651609,SPRED3,399473,19,19q13.2a
ILMN_1651610,LOC730525,730525,,
ILMN_1651617,CTNNB1,1499,3,3p22.1b
ILMN_1651624,C6orf201,404220,6,6p25.2a
ILMN_1651628,EXOC6,54536,10,10q23.33a
ILMN_1651636,CYP2A13,1553,19,19q13.2b
ILMN_1651637,CRSP2,9282,,Xp11.4b
ILMN_1651641,LOC643069,643069,22,22q11.21d
ILMN_1651642,GPC2,221914,7,7q22.1c
ILMN_1651643,ASB11,140456,X,Xp22.2
ILMN_1651652,RTN3,10313,11,11q13.1a
ILMN_1651656,PSG7,5676,19,19q13.31a
ILMN_1651657,ADAM33,80332,20,20p13b
ILMN_1651660,TMEM191B,728229,22,22q11.21d
ILMN_1651662,LOC643899,643899,12,
ILMN_1651664,SDHALP1,NA,,
ILMN_1651672,LOC646717,646717,22,
ILMN_1651680,LOC649150,649150,,
ILMN_1651681,WDFY3,23001,4,4q21.23b
ILMN_1651684,KIAA0586,9786,14,14q23.1b
ILMN_1651685,C8ORFK32,51059,8,8q24.23c
ILMN_1651690,PGBD4,161779,15,15q14a
ILMN_1651692,STK10,6793,5,5q35.1e
ILMN_1651693,GSG1,83445,12,12p13.1b
ILMN_1651699,EPS8,2059,12,12p12.3e-p12.3d
ILMN_1651705,CAT,847,11,11p13c
ILMN_1651708,RESP18,389075,,2q35f
ILMN_1651710,IQCD,115811,12,12q24.13b
ILMN_1651711,LOC728005,728005,10,10q11.22c
ILMN_1651712,RBM11,54033,21,21q11.2c
ILMN_1651715,RNF2,6045,1,1q25.3g
ILMN_1651717,ADAMTS20,80070,12,12q12f
ILMN_1651719,MBTPS1,8720,16,16q23.3b-q24.1a
ILMN_1651727,LOC648473,648473,,
ILMN_1651735,TGOLN2,10618,2,2p11.2g
ILMN_1651737,LOC644689,644689,9,
ILMN_1651741,ARMCX3,51566,X,Xq22.1c
ILMN_1651745,TMEM25,84866,11,11q23.3d
ILMN_1651752,CXorf21,80231,X,Xp21.2a
ILMN_1651758,LOC645643,645643,X,
ILMN_1651760,LOC646537,646537,8,
ILMN_1651763,TFDP3,51270,X,Xq26.2b
ILMN_1651767,MKL1,57591,22,22q13.1e-q13.2a
ILMN_1651769,ZFYVE16,9765,5,5q14.1e
ILMN_1651771,RRAGB,10325,X,Xp11.21a
ILMN_1651776,FHOD1,29109,16,16q22.1a
ILMN_1651787,MSH5,4439,6,6p21.33a
ILMN_1651788,MAP3K11,4296,11,11q13.1d
ILMN_1651789,VCX2,51480,X,Xp22.31c
ILMN_1651792,RORC,6097,1,1q21.3a
ILMN_1651799,SLC38A2,54407,12,12q13.11a
ILMN_1651800,GSTM4,2948,1,1p13.3b
ILMN_1651806,LOC653801,653801,3,3q25.31b
ILMN_1651811,LOC729269,729269,22,22q11.21a
ILMN_1651817,GRIK1,2897,21,21q21.3c
ILMN_1651819,GALNT11,63917,7,7q36.1e
ILMN_1651826,BASP1,10409,5,5p15.1b
ILMN_1651828,CCT3,7203,1,1q22d
ILMN_1651832,EHD1,10938,11,11q13.1b
ILMN_1651838,RND1,27289,12,12q13.12a
ILMN_1651846,LOC400954,400954,2,2p16.1d
ILMN_1651848,ITSN1,6453,21,21q22.11c
ILMN_1651850,RPS16,6217,19,19q13.2a
ILMN_1651865,KIAA1257,57501,3,3q21.3c
ILMN_1651872,UBIAD1,29914,1,1p36.22b
ILMN_1651878,EVC,2121,4,4p16.1g
ILMN_1651886,CWF19L1,55280,10,10q24.2c-q24.31a
ILMN_1651899,LOC653314,653314,5,5q35.3b
ILMN_1651900,KCNA4,3739,11,11p14.1b
ILMN_1651902,RASL11A,387496,13,13q12.2a
ILMN_1651903,LOC645669,645669,19,
ILMN_1651905,ZNF187,7741,6,6p22.1b
ILMN_1651913,LOC651357,651357,,
ILMN_1651916,OCLN,4950,,5q13.2a
ILMN_1651936,SETD8,387893,12,12q24.31d
ILMN_1651938,LOC649652,649652,,
ILMN_1651940,OR6C76,390326,12,12q13.2b
ILMN_1651943,ANK3,288,10,10q21.2a
ILMN_1651944,CTNND1,1500,,11q12.1b
ILMN_1651949,SCYL3,57147,1,1q24.2c
ILMN_1651950,TPST1,8460,7,7q11.21e
ILMN_1651958,MGP,4256,12,12p12.3e
ILMN_1651964,ABCC5,10057,3,3q27.1b
ILMN_1651966,FGFR3,2261,4,4p16.3b
ILMN_1651967,TP53I3,9540,2,2p23.3d
ILMN_1651980,LOC283767,283767,15,15q11.2b
ILMN_1651984,LOC653648,653648,9,
ILMN_1651987,C6orf129,154467,6,6p21.2c
ILMN_1652000,FAM156A,29057,X,Xp11.22b
ILMN_1652003,GNG10,2790,9,9q31.3b
ILMN_1652006,SMC1A,8243,X,Xp11.22a
ILMN_1652008,C15orf23,90417,15,15q15.1a
ILMN_1652015,LOC647451,647451,,
ILMN_1652017,PPEF1,5475,X,Xp22.13b
ILMN_1652022,DHX57,90957,2,2p22.1c
ILMN_1652023,HRBL,3268,7,7q22.1c
ILMN_1652024,CSNK1G3,1456,5,5q23.2b
ILMN_1652037,UPP2,151531,2,2q24.1d-q24.1e
ILMN_1652056,TTN,7273,2,2q31.2b
ILMN_1652065,KCNMB1,3779,5,5q35.1c
ILMN_1652066,SNED1,25992,2,2q37.3f
ILMN_1652072,MGC42105,167359,5,5p12c
ILMN_1652073,LOC653658,653658,,Xq13.1c
ILMN_1652079,LOC641846,641846,,
ILMN_1652081,LOC644003,644003,4,
ILMN_1652082,ELF4,2000,X,Xq25h
ILMN_1652085,MPHOSPH10,10199,2,2p13.3b
ILMN_1652088,PAPOLB,56903,7,7p22.1d
ILMN_1652098,LOC388578,388578,1,
ILMN_1652104,KRAS,3845,12,12p12.1b-p12.1a
ILMN_1652110,DDX12,440081,12,12p13.31a
ILMN_1652113,LOC641989,641989,,
ILMN_1652123,HMGN1,3150,21,21q22.2b
ILMN_1652128,LMBRD1,55788,6,6q13a
ILMN_1652132,LOC649945,649945,,
ILMN_1652137,PPYR1,5540,10,10q11.22a
ILMN_1652144,LOC653751,653751,14,
ILMN_1652147,MRPL43,84545,10,10q24.31a
ILMN_1652151,LOC644829,644829,9,
ILMN_1652155,DHX9,1660,1,1q25.3d
ILMN_1652160,LRBA,987,4,4q31.3a-q31.3b
ILMN_1652161,PNKD,25953,2,2q35e
ILMN_1652163,DVL2,1856,17,17p13.1d
ILMN_1652164,LOC729196,729196,11,11q13.2a
ILMN_1652166,GUCY1B2,2974,13,13q14.3b
ILMN_1652170,LOC649159,649159,16,16p11.2a
ILMN_1652171,CDKN2C,1031,1,1p33a
ILMN_1652175,KRTAP9-8,83901,17,17q21.2a
ILMN_1652178,FLJ41733,400870,21,21q22.3c
ILMN_1652181,KIF2B,84643,17,17q22a
ILMN_1652185,IL4R,3566,16,16p12.1a
ILMN_1652188,KIAA1632,57724,18,18q12.3f-q21.1a
ILMN_1652196,CTAG1A,246100,X,Xq28g
ILMN_1652198,CCM2,83605,7,7p13c
ILMN_1652199,LOC642113,642113,,
ILMN_1652205,LOC645785,645785,1,
ILMN_1652206,LOC642628,642628,8,
ILMN_1652207,COX4I1,1327,16,16q24.1b
ILMN_1652209,LOC731432,731432,,
ILMN_1652215,LOC644310,644310,,Xp11.22b
ILMN_1652218,LOC440080,440080,12,
ILMN_1652219,C20orf112,140688,20,20q11.21c
ILMN_1652223,WDR91,29062,7,7q33b
ILMN_1652230,LOC647361,647361,,
ILMN_1652236,LOC732313,732313,,
ILMN_1652237,CBR3,874,21,21q22.12b
ILMN_1652242,LOC643206,643206,5,
ILMN_1652243,FLJ32784,127731,1,1p36.12b
ILMN_1652244,POPDC3,64208,6,6q21b
ILMN_1652246,KIAA0363,23148,,7p13c
ILMN_1652248,LOC653319,653319,16,16q22.1a
ILMN_1652249,PPP2R4,5524,9,9q34.11c
ILMN_1652254,LOC643125,643125,18,
ILMN_1652259,LOC644311,644311,9,
ILMN_1652276,MAGEA3,4102,X,Xq28e
ILMN_1652277,SECTM1,6398,17,17q25.3g
ILMN_1652280,FBXO32,114907,8,8q24.13c
ILMN_1652284,PRM3,58531,16,16p13.13c
ILMN_1652287,NOG,9241,17,17q22c
ILMN_1652291,EVX2,344191,2,2q31.1h
ILMN_1652297,LOC642468,642468,4,
ILMN_1652300,ZNF507,22847,19,19q13.11a
ILMN_1652306,MEGF10,84466,5,5q23.2f
ILMN_1652309,TTC8,123016,14,14q31.3d
ILMN_1652313,RNF215,200312,22,22q12.2b
ILMN_1652314,SPAG1,6674,8,8q22.2b
ILMN_1652319,LOC642528,642528,4,
ILMN_1652331,KCTD5,54442,16,16p13.3d
ILMN_1652333,FN3KRP,79672,17,17q25.3h
ILMN_1652342,LOC649143,649143,,
ILMN_1652343,LOC652735,652735,,
ILMN_1652348,FLJ46481,389197,4,4p16.1g-p16.1f
ILMN_1652357,PDHX,8050,11,11p13b
ILMN_1652365,LOC127602,127602,1,1q42.12a-q42.12b
ILMN_1652366,NLRP7,199713,19,19q13.42b
ILMN_1652368,LOC647247,647247,3,3q26.33a
ILMN_1652369,ERCC1,2067,19,19q13.32a
ILMN_1652371,KIAA1324L,222223,7,7q21.12a
ILMN_1652376,IFNA17,3451,9,9p21.3d
ILMN_1652378,IPO7,10527,11,11p15.4a
ILMN_1652379,SUCLG2,8801,3,3p14.1c-p14.1b
ILMN_1652381,SIGLEC5,8778,19,19q13.33d
ILMN_1652392,DCHS2,54798,4,4q32.1a
ILMN_1652394,RAB2A,5862,8,8q12.1d
ILMN_1652397,TRPT1,83707,11,11q13.1a
ILMN_1652407,ZMYND8,23613,20,20q13.12c
ILMN_1652409,SPATA7,55812,14,14q31.3d
ILMN_1652412,PHKB,5257,16,16q12.1a
ILMN_1652413,UCN2,90226,3,3p21.31e
ILMN_1652417,DC36,389760,,
ILMN_1652424,OR1S1,219959,11,11q12.1b
ILMN_1652429,CXorf30,652913,,
ILMN_1652430,LOC642268,642268,2,
ILMN_1652431,CA1,759,8,8q21.2b
ILMN_1652434,MTHFD2L,441024,4,4q13.3d-q13.3e
ILMN_1652436,LOC646029,646029,11,11q14.1a
ILMN_1652439,KRTAP3-1,83896,17,17q21.2a
ILMN_1652445,RAC1,5879,7,7p22.1b
ILMN_1652450,LOC647509,647509,,10q26.3f
ILMN_1652456,TMEM98,26022,17,17q11.2e
ILMN_1652459,LOC654161,654161,,
ILMN_1652461,PARD3B,117583,2,2q33.2b-q33.3a
ILMN_1652464,TUBA3E,112714,2,2q21.1b
ILMN_1652465,SLC26A4,5172,7,7q22.3c
ILMN_1652466,LOC644366,644366,17,17q21.32a
ILMN_1652469,LOC648302,648302,,
ILMN_1652472,BRAF,673,7,7q34d
ILMN_1652486,THAP7,80764,22,22q11.21e
ILMN_1652487,RIOK1,83732,6,6p24.3c
ILMN_1652488,LOC644883,644883,10,
ILMN_1652490,MANSC1,54682,12,12p13.2a
ILMN_1652494,FAM139A,285966,7,7q35a
ILMN_1652505,APEX2,27301,X,Xp11.21a
ILMN_1652507,LOC646870,646870,1,1q25.1a
ILMN_1652512,C2CD2,25966,21,21q22.3a
ILMN_1652521,MTMR9,66036,8,8p23.1b
ILMN_1652525,FAM125B,89853,9,9q33.3b
ILMN_1652527,LOC644808,644808,1,
ILMN_1652533,DKFZp434K191,29797,22,22q11.21f
ILMN_1652540,RELL2,285613,5,5q31.3c
ILMN_1652549,DTNA,1837,18,18q12.1g
ILMN_1652550,LOC647681,647681,,
ILMN_1652574,LRRC4B,94030,,19q13.33c
ILMN_1652577,USP32,84669,,17q23.2a
ILMN_1652578,TSHB,7252,1,1p13.2a
ILMN_1652580,POLD1,5424,19,19q13.33c
ILMN_1652594,ACTR5,79913,20,20q11.23c
ILMN_1652602,C11orf35,256329,11,11p15.5d
ILMN_1652604,GGT1,2678,22,22q11.23b
ILMN_1652609,RGNEF,64283,5,5q13.2c
ILMN_1652611,LOC642538,642538,10,10q22.3f
ILMN_1652628,LOC375295,375295,2,2q31.1i
ILMN_1652631,C9orf19,152007,9,9p13.3a
ILMN_1652638,LRRC58,116064,,3q13.33b
ILMN_1652639,LOC652173,652173,,
ILMN_1652646,LOC441196,441196,7,
ILMN_1652647,INPP4A,3631,2,2q11.2c
ILMN_1652649,LOC643722,643722,3,
ILMN_1652650,SH3KBP1,30011,X,Xp22.12b
ILMN_1652660,LOC647357,NA,,
ILMN_1652662,GRB10,2887,7,7p12.2a
ILMN_1652666,LOC647049,647049,13,13q14.11d
ILMN_1652670,PRAMEF1,65121,1,1p36.21d
ILMN_1652674,LLGL2,3993,,17q25.1c
ILMN_1652677,FAM89A,375061,1,1q42.2a
ILMN_1652680,LOC652616,652616,,
ILMN_1652685,LOC642595,642595,8,
ILMN_1652687,LOC440104,440104,12,12q13.2c
ILMN_1652689,LOC202134,202134,5,5q35.2d
ILMN_1652693,SHH,6469,7,7q36.3a
ILMN_1652694,FAM131B,9715,7,7q34f
ILMN_1652700,LOC647102,647102,,7p13b
ILMN_1652701,FLJ20972,80098,1,1p34.2b
ILMN_1652711,LOC648815,648815,,
ILMN_1652715,C10orf111,221060,10,10p13c
ILMN_1652716,THEX1,90459,8,8p23.1d
ILMN_1652719,TMCO5,145942,15,15q14c
ILMN_1652721,LOC648758,648758,,
ILMN_1652722,C14orf2,9556,14,14q32.33a
ILMN_1652727,GLT8D1,55830,3,3p21.1d
ILMN_1652729,ANK2,287,4,4q26a
ILMN_1652732,HTR7,3363,10,10q23.31d
ILMN_1652735,RFXAP,5994,13,13q13.3b
ILMN_1652736,RPS6KA3,6197,X,Xp22.12b
ILMN_1652737,LOC646871,646871,13,13q13.3b
ILMN_1652740,LOC389786,389786,9,
ILMN_1652745,LOC642257,642257,11,
ILMN_1652747,LOC644631,644631,4,
ILMN_1652749,ERF,2077,19,19q13.2c
ILMN_1652753,PAAF1,80227,11,11q13.4b
ILMN_1652754,ZNF428,126299,19,19q13.31a
ILMN_1652756,LOC643878,643878,,12q13.13d
ILMN_1652758,LOC647579,647579,,
ILMN_1652761,LOC653203,653203,22,22q11.21d
ILMN_1652762,HIC2,23119,22,22q11.21f
ILMN_1652763,LOC389203,389203,,4p15.2b
ILMN_1652768,LOC440589,440589,,1p32.3e
ILMN_1652777,CDC42EP2,10435,11,11q13.1c
ILMN_1652780,TMOD2,29767,15,15q21.2b
ILMN_1652784,MUCDHL,53841,11,11p15.5d
ILMN_1652786,LOC338805,338805,,12q14.1a
ILMN_1652787,PIK3AP1,118788,10,10q24.1a
ILMN_1652790,CLK1,1195,2,2q33.1e
ILMN_1652797,LOC400451,400451,15,15q26.1d
ILMN_1652799,LOC441873,441873,1,1p36.21d
ILMN_1652806,ATP5J,522,21,21q21.3a
ILMN_1652807,HOXA3,3200,7,7p15.2a
ILMN_1652808,LOC643191,643191,11,
ILMN_1652819,OPA3,80207,19,19q13.32a
ILMN_1652825,IL10RA,3587,11,11q23.3c
ILMN_1652826,LRRC17,10234,7,7q22.1f
ILMN_1652837,LOC644010,644010,5,5p12c
ILMN_1652846,PCYT2,5833,17,17q25.3g
ILMN_1652852,GAS2,2620,11,11p14.3d-p14.3c
ILMN_1652854,LOC653569,653569,8,
ILMN_1652857,SLC15A1,6564,13,13q32.3a
ILMN_1652865,BAIAP2,10458,17,17q25.3f
ILMN_1652866,LMX1B,4010,9,9q33.3b
ILMN_1652871,PLSCR5,389158,,3q24d
ILMN_1652872,UBOX5,22888,20,20p13c
ILMN_1652876,LOC392215,392215,,
ILMN_1652881,FLJ00312,399761,10,10q11.22c
ILMN_1652888,C8orf30A,51236,8,8q24.3g
ILMN_1652890,LOC653349,653349,X,
ILMN_1652906,GBGT1,26301,9,9q34.2a
ILMN_1652907,CDC5L,988,6,6p21.1b
ILMN_1652913,EZH2,2146,7,7q36.1a
ILMN_1652918,RHOF,54509,12,12q24.31b
ILMN_1652927,LOC641851,641851,,
ILMN_1652928,ORAI2,80228,7,7q22.1e
ILMN_1652929,POGZ,23126,1,1q21.3a
ILMN_1652931,LOC644672,644672,,11q23.2a
ILMN_1652938,PRRG3,79057,X,Xq28d
ILMN_1652939,LOC647060,647060,9,9p13.1a
ILMN_1652940,MGC16703,NA,22,
ILMN_1652946,LOC387804,387804,11,11q21a
ILMN_1652952,RASAL2,9462,1,1q25.2b
ILMN_1652955,LOC648622,648622,,
ILMN_1652959,ABCD2,225,12,12q12b
ILMN_1652963,C1orf194,127003,1,1p13.3b
ILMN_1652967,LOC390332,390332,12,12q13.3a
ILMN_1652969,ZNF479,90827,7,7p11.2a
ILMN_1652975,DLK1,8788,14,14q32.2b
ILMN_1652977,LOC652191,652191,,12q24.21a
ILMN_1652982,LOC23117,23117,16,16p12.2a
ILMN_1652989,NUP160,23279,11,11p11.2a
ILMN_1652990,LOC649745,649745,,
ILMN_1652991,NBPF10,440673,1,
ILMN_1652992,PRDM2,7799,1,1p36.21c
ILMN_1652996,SMG1,23049,16,16p12.3b
ILMN_1652998,HIST1H2BL,8340,6,6p22.1c
ILMN_1653001,CABLES1,91768,18,18q11.2b
ILMN_1653006,CSN1S1,1446,4,4q13.3a
ILMN_1653018,LOC647447,647447,,
ILMN_1653026,PLAC8,51316,4,4q21.22a
ILMN_1653028,COL4A1,1282,13,13q34a
ILMN_1653031,LOC653766,653766,19,
ILMN_1653033,LOC644679,644679,10,
ILMN_1653039,LOC642934,642934,,10q23.1c
ILMN_1653040,PCDHGA12,26025,5,5q31.3c
ILMN_1653042,HSD3B7,80270,16,16p11.2c
ILMN_1653043,LOC649198,649198,9,9q22.1a
ILMN_1653047,DHX40,79665,17,17q23.1a
ILMN_1653055,SOX3,6658,X,Xq27.1c
ILMN_1653056,ATP6V0C,527,,16p13.3d
ILMN_1653057,LOC221981,221981,7,7p21.3b
ILMN_1653073,OR10Q1,219960,11,11q12.1b
ILMN_1653077,LOC650549,650549,,
ILMN_1653092,LOC643275,643275,12,12q13.13a
ILMN_1653098,SLC30A4,7782,15,15q21.1a
ILMN_1653102,CCDC64,92558,12,12q24.23c
ILMN_1653103,C20orf152,140894,20,20q11.23a
ILMN_1653106,LOC650677,650677,,
ILMN_1653115,ECH1,1891,19,19q13.2a
ILMN_1653120,ST6GAL1,6480,3,3q27.3a-q27.3b
ILMN_1653125,PER1,5187,17,17p13.1c
ILMN_1653127,HERC2P2,NA,15,
ILMN_1653129,CSTF2,1478,X,Xq22.1c
ILMN_1653133,SH3D19,152503,4,4q31.3b
ILMN_1653134,TMEM188,255919,16,16q12.1c
ILMN_1653142,LOC651454,651454,,
ILMN_1653143,ECD,11319,10,10q22.1g
ILMN_1653146,MSH4,4438,1,1p31.1g
ILMN_1653150,LOC642961,642961,12,
ILMN_1653155,KIAA1957,126567,,19p13.3j
ILMN_1653158,DPRX,503834,19,19q13.41b
ILMN_1653161,SNCG,6623,10,10q23.2a
ILMN_1653163,ZSCAN2,54993,15,15q25.2b
ILMN_1653165,AAMP,14,2,2q35e
ILMN_1653166,CLEC10A,10462,17,17p13.1d
ILMN_1653174,GCNT2,2651,6,6p24.2a
ILMN_1653180,TPM4,7171,19,19p13.12a
ILMN_1653182,LOC732139,732139,,
ILMN_1653185,LOC731196,731196,,
ILMN_1653189,GTF2I,2969,,7q11.23c
ILMN_1653193,LOC643377,643377,2,2q24.3b
ILMN_1653198,LOC643695,643695,1,
ILMN_1653200,SLC22A17,51310,14,14q11.2f
ILMN_1653202,LOC643717,643717,1,1q41c
ILMN_1653203,EFEMP2,30008,11,11q13.1d
ILMN_1653205,C8orf59,401466,8,8q21.2b
ILMN_1653207,LOC441662,441662,13,13q31.2a
ILMN_1653209,ZWINT,11130,10,10q21.1d
ILMN_1653211,ATP1B4,23439,X,Xq24d
ILMN_1653220,PITPNM1,9600,11,11q13.1f
ILMN_1653228,C3orf22,152065,3,3q21.3a
ILMN_1653240,LOC644683,644683,5,
ILMN_1653251,HIST1H1B,3009,6,6p22.1c
ILMN_1653263,GPRIN1,114787,5,5q35.2d
ILMN_1653266,DNAJB14,79982,4,4q23b
ILMN_1653267,GPR26,2849,10,10q26.13c
ILMN_1653274,NUDT10,170685,X,Xp11.22c
ILMN_1653276,LOC645276,645276,,10p12.31a
ILMN_1653278,MUC20,200958,3,3q29e
ILMN_1653282,LCE2A,353139,1,1q21.3b
ILMN_1653283,APP,351,21,21q21.3a
ILMN_1653286,LOC642345,642345,,13q31.2a
ILMN_1653292,PFKFB4,5210,3,3p21.31e
ILMN_1653310,ZNF580,51157,19,19q13.42c
ILMN_1653314,LOC642576,642576,1,
ILMN_1653319,MC1R,4157,16,16q24.3b
ILMN_1653324,IL22RA2,116379,6,6q23.3c
ILMN_1653332,FAM29A,54801,9,9p22.1b
ILMN_1653337,USP32,84669,17,17q23.2a
ILMN_1653340,RECQL5,9400,17,17q25.1c
ILMN_1653342,DUS1L,64118,17,17q25.3g
ILMN_1653347,LOC643697,643697,20,
ILMN_1653352,LOC644975,644975,7,7q21.3d
ILMN_1653355,A26C3,23784,22,22q11.1c
ILMN_1653358,FUT3,2525,19,19p13.3b
ILMN_1653367,TAF12,6883,1,1p35.3b
ILMN_1653368,LOC645238,645238,11,
ILMN_1653369,FLJ39739,388685,,1q21.1d
ILMN_1653372,ATP8B3,148229,19,19p13.3h
ILMN_1653376,KIAA1946,165215,2,2q32.1e
ILMN_1653378,LOC646589,646589,X,
ILMN_1653385,KIF3A,11127,5,5q31.1b-q31.1c
ILMN_1653386,SULT6B1,391365,2,2p22.2b
ILMN_1653390,SDHALP1,NA,,
ILMN_1653394,LOC642916,642916,10,
ILMN_1653395,CCR5,1234,3,3p21.31i
ILMN_1653404,NKIRAS2,28511,17,17q21.2b
ILMN_1653410,LOC647274,647274,3,
ILMN_1653412,RAXL1,84839,19,19p13.3e
ILMN_1653415,SPANXA2,728712,X,Xq27.2a
ILMN_1653420,LOC648278,648278,,
